IBM.Date,IBM.Open,IBM.High,IBM.Low,IBM.Close,IBM.Volume,IBM.Adj.Close,SP.Date,SP.Open,SP.High,SP.Low,SP.Close,SP.Volume,SP.Adj.Close
6/1/2015,170.210007,171.559998,162.119995,162.660004,3838200,152.74733,6/1/2015,2108.639893,2129.870117,2056.320068,2063.110107,3513296300,2063.110107
5/1/2015,173.199997,176.300003,168.839996,169.649994,3101000,159.31134,5/1/2015,2087.379883,2134.719971,2067.929932,2107.389893,3455756000,2107.389893
4/1/2015,160.229996,175.130005,158.389999,171.289993,4709400,159.643234,4/1/2015,2067.629883,2125.919922,2048.379883,2085.51001,3521458000,2085.51001
3/2/2015,161.940002,165.350006,153.399994,160.5,4962100,149.586899,3/2/2015,2105.22998,2117.52002,2039.689941,2067.889893,3638745400,2067.889893
2/2/2015,154,164.990005,151.509995,161.940002,4319300,150.929001,2/2/2015,1996.670044,2119.590088,1980.900024,2104.5,3806470500,2104.5
1/2/2015,161.309998,163.309998,149.520004,153.309998,6198100,141.890442,1/2/2015,2058.899902,2072.360107,1988.119995,1994.98999,4091934500,1994.98999
12/1/2014,161.639999,164.520004,150.5,160.440002,4799700,148.489365,12/1/2014,2065.780029,2093.550049,1972.560059,2058.899902,3788631300,2058.899902
11/3/2014,164.25,164.970001,159.800003,162.169998,4337900,150.0905,11/3/2014,2018.209961,2075.76001,2001.01001,2067.560059,3479201500,2067.560059
10/1/2014,189.910004,190.889999,161.100006,164.399994,6611800,151.120087,10/1/2014,1971.439941,2018.189941,1820.660034,2018.050049,4260310800,2018.050049
9/2/2014,192.679993,195,188.119995,189.830002,3195800,174.495895,9/2/2014,2004.069946,2019.26001,1964.040039,1972.290039,3364623800,1972.290039
8/1/2014,190.5,194.130005,183.580002,192.300003,2683900,176.766388,8/1/2014,1929.800049,2005.040039,1904.780029,2003.369995,2875718500,2003.369995
7/1/2014,181.699997,196.399994,181.699997,191.669998,4627500,175.151428,7/1/2014,1962.290039,1991.390015,1930.670044,1930.670044,3214440400,1930.670044
6/2/2014,184.759995,187.649994,179.270004,181.270004,3939300,165.647736,6/2/2014,1923.869995,1968.170044,1915.97998,1960.22998,3158130000,1960.22998
5/1/2014,196.309998,196.740005,182.330002,184.360001,3554200,168.47142,5/1/2014,1884.390015,1924.030029,1859.790039,1923.569946,3185100900,1923.569946
4/1/2014,193.119995,199.210007,187.009995,196.470001,5840300,178.498489,4/1/2014,1873.959961,1897.280029,1814.359985,1883.949951,3589287600,1883.949951
3/3/2014,183.330002,195.630005,182.210007,192.490005,6072400,174.882553,3/3/2014,1857.680054,1883.969971,1834.439941,1872.339966,3579015700,1872.339966
2/3/2014,176.020004,186.119995,172.190002,185.169998,4827500,168.232117,2/3/2014,1782.680054,1867.920044,1737.920044,1859.449951,3875949400,1859.449951
1/2/2014,187.210007,190.809998,175.339996,176.679993,6127700,159.643524,1/2/2014,1845.859985,1850.839966,1770.449951,1782.589966,3806266600,1782.589966
12/2/2013,179.460007,187.789993,172.729996,187.570007,4838700,169.483475,12/2/2013,1806.550049,1849.439941,1767.98999,1848.359985,3203412300,1848.359985
11/1/2013,179.809998,186.240005,177.309998,179.679993,5192700,162.354248,11/1/2013,1758.699951,1813.550049,1746.199951,1805.810059,3261324500,1805.810059
10/1/2013,185.339996,186.990005,172.570007,179.210007,5881900,161.064621,10/1/2013,1682.410034,1775.219971,1646.469971,1756.540039,3498866500,1756.540039
9/3/2013,183.630005,194.889999,182.309998,185.179993,3773300,166.43013,9/3/2013,1635.949951,1729.859985,1633.410034,1681.550049,3474152000,1681.550049
8/1/2013,196.649994,197.169998,181.100006,182.270004,3445800,163.814789,8/1/2013,1689.420044,1709.670044,1627.469971,1632.969971,3069868600,1632.969971
7/1/2013,192.149994,200.940002,190.259995,195.039993,4176700,174.419876,7/1/2013,1609.780029,1698.780029,1604.569946,1685.72998,3270645900,1685.72998
6/3/2013,208.25,210.050003,188.410004,191.110001,4513500,170.90538,6/3/2013,1631.709961,1654.189941,1560.329956,1606.280029,3996199000,1606.280029
5/1/2013,201.869995,211.979996,199.199997,208.020004,4346900,186.027618,5/1/2013,1597.550049,1687.180054,1581.280029,1630.73999,3661220400,1630.73999
4/1/2013,212.800003,214.889999,187.679993,202.539993,5282100,180.281952,4/1/2013,1569.180054,1597.569946,1536.030029,1597.569946,3674685000,1597.569946
3/1/2013,200.649994,215.899994,199.360001,213.300003,3988600,189.859497,3/1/2013,1514.680054,1570.280029,1501.47998,1569.189941,3591577500,1569.189941
2/1/2013,204.649994,205.350006,197.509995,200.830002,3622800,178.759872,2/1/2013,1498.109985,1530.939941,1485.01001,1514.680054,3851884200,1514.680054
1/2/2013,194.089996,208.580002,190.389999,203.070007,4320300,179.996063,1/2/2013,1426.189941,1509.939941,1426.189941,1498.109985,3802304200,1498.109985
12/3/2012,190.759995,196.449997,186.940002,191.550003,4200200,169.785034,12/3/2012,1416.339966,1448,1398.109985,1426.189941,3479625500,1426.189941
11/1/2012,194.679993,198,184.779999,190.070007,4134700,168.473206,11/1/2012,1412.199951,1434.27002,1343.349976,1416.180054,3593110000,1416.180054
10/1/2012,208.009995,211.789993,190.559998,194.529999,4867000,171.675095,10/1/2012,1440.900024,1470.959961,1403.280029,1412.160034,3587115700,1412.160034
9/4/2012,196.610001,208.320007,193.25,207.449997,4329000,183.077148,9/4/2012,1406.540039,1474.51001,1396.560059,1440.670044,3857553100,1440.670044
8/1/2012,196.960007,202,193.020004,194.850006,2775900,171.957504,8/1/2012,1379.319946,1426.680054,1354.650024,1406.579956,3183567800,1406.579956
7/2/2012,196.360001,197.839996,181.850006,195.979996,4524900,172.219421,7/2/2012,1362.329956,1391.73999,1325.410034,1379.319946,3663113300,1379.319946
6/1/2012,190.119995,199.990005,187,195.580002,4277000,171.86792,6/1/2012,1309.869995,1363.459961,1266.73999,1362.160034,4103472300,1362.160034
5/1/2012,207.179993,208.929993,192,192.899994,4331400,169.512848,5/1/2012,1397.859985,1415.319946,1291.97998,1310.329956,4158095900,1310.329956
4/2/2012,208.960007,210.690002,196.789993,207.080002,4468800,181.214523,4/2/2012,1408.469971,1422.380005,1357.380005,1397.910034,3916786000,1397.910034
3/1/2012,197.229996,209.119995,196.809998,208.649994,4150500,182.588409,3/1/2012,1365.900024,1419.150024,1340.030029,1408.469971,3980752200,1408.469971
2/9/2012,193.029999,199.229996,190.830002,196.729996,4252300,172.157288,2/9/2012,1349.969971,1378.040039,1337.349976,1365.680054,4172525700,1365.680054
