Movie	Budget	Best actors	Top dollar actors	Genre	MPAA rating	Country	Sequel	Summer release	Holiday release	Christmas release	First weekend	Ebert review	Opening screens	Month released (1998)	Total domestic gross	Oscar nominations	Oscars	Nominations (in/out of release)	Log budget	Log 1st weekend	Log domestic	First weekend per screen	No budget	Ebert missing	Log opening screens	Log $ per screen	Few screens	Action	Childrens	Comedy	Documentary	Drama	Horror	SF	Thriller	G	PG	PG-13	R	NC-17	U	UK gross	Logged UK gross
Armageddon	1.400000000e+002	0.000000000e+000	1.000000000e+000	Action	PG-13	USA	0.000000000e+000	1.000000000e+000	1.000000000e+000	0.000000000e+000	3.608997200e+001	1.000000000e+000	3.127000000e+003	July	2.015730000e+002	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.146128036e+000	1.557386545e+000	2.304432359e+000	1.154140454e-002	0.000000000e+000	0.000000000e+000	3.495127881e+000	-1.937741336e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.640100000e+001	1.214870329e+000
Artemisia		0.000000000e+000	0.000000000e+000	Drama	R	Non-English	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	7.972500000e-002	3.000000000e+000		May	3.775120000e-001	0.000000000e+000	0.000000000e+000	0.000000000e+000		-1.098405472e+000	-4.230692389e-001		1.000000000e+000	0.000000000e+000				0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Avengers, The	6.000000000e+001	1.000000000e+000	0.000000000e+000	Action	PG-13	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	1.030595700e+001		2.466000000e+003	August	2.332200000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.778151250e+000	1.013088326e+000	1.367765791e+000	4.179220195e-003	0.000000000e+000	1.000000000e+000	3.391993072e+000	-2.378904746e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Ayneh		0.000000000e+000	0.000000000e+000	Drama	U	Non-English	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	3.741000000e-003		1.000000000e+000	October	4.497000000e-002	0.000000000e+000	0.000000000e+000	0.000000000e+000		-2.427012292e+000	-1.347077112e+000	3.741000000e-003	1.000000000e+000	1.000000000e+000	0.000000000e+000	-2.427012292e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000		
Babe: Pig in the City	8.000000000e+001	0.000000000e+000	0.000000000e+000	Childrens	PG	USA	1.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	6.162640000e+000	4.000000000e+000	2.384000000e+003	November	1.831800000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.903089987e+000	7.897667985e-001	1.262878055e+000	2.585000000e-003	0.000000000e+000	0.000000000e+000	3.377306251e+000	-2.587539453e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
Barney's Great Adventure	1.500000000e+001	0.000000000e+000	0.000000000e+000	Childrens	G	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	2.585292000e+000	3.000000000e+000	5.400000000e+002	April	1.114400000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.176091259e+000	4.125096023e-001	1.047041103e+000	4.787577778e-003	0.000000000e+000	0.000000000e+000	2.732393760e+000	-2.319884158e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		
BASEketball		0.000000000e+000	0.000000000e+000	Comedy	R	USA	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	3.086105000e+000	1.500000000e+000	1.905000000e+003	August	6.940000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000		4.894106982e-001	8.413594705e-001	1.620002625e-003	1.000000000e+000	0.000000000e+000	3.279894980e+000	-2.790484282e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Belly	1.000000000e+001	0.000000000e+000	0.000000000e+000	Thriller	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	3.454776000e+000		6.000000000e+002	November	9.630000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	5.384198939e-001	9.836262871e-001	5.757960000e-003	0.000000000e+000	1.000000000e+000	2.778151250e+000	-2.239731356e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Beloved	5.300000000e+001	0.000000000e+000	0.000000000e+000	Drama	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	8.165551000e+000	3.500000000e+000	1.501000000e+003	October	2.247600000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.724275870e+000	9.119854956e-001	1.351719023e+000	5.440073951e-003	0.000000000e+000	0.000000000e+000	3.176380692e+000	-2.264395197e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000		
Big Hit, The	1.300000000e+001	0.000000000e+000	0.000000000e+000	Action	R	USA	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.080942400e+001	1.000000000e+000	2.149000000e+003	April	2.705200000e+001	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.113943352e+000	1.033802552e+000	1.432199379e+000	5.029978595e-003	0.000000000e+000	0.000000000e+000	3.332236415e+000	-2.298433863e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	0.000000000e+000	1.000000000e+000	0.000000000e+000	0.000000000e+000	3.143300000e-002	-1.502614167e+000
