Restaurant Name,Type,Location,Food,Decor,Service,Cost
Mamajuana Cafe,Nuevo Latino ,Woodside,21,20,19,41
Manducatis,Southern Italian ,Long Island City,23,16,21,45
Manducatis Rustica,Italian ,Long Island City,23,16,21,45
Manetta's,Italian ,Long Island City,23,18,22,38
Marco Polo Ristorante,Italian ,Carroll Gardens,20,17,20,44
Marlow & Sons,American ,Williamsburg,24,19,21,43
Mesa Coyoacan,Mexican ,Williamsburg,24,20,20,35
MexiBBQ Kitchen & Draught,Mexican ,Astoria,21,21,19,27
Mile End Delicatessen,Sandwich Shop ,Boerum Hill,23,13,18,25
Miranda,Latin American ,Williamsburg,23,21,24,44
Miss Favela,Brazilian ,Williamsburg,22,20,19,31
Mole NYC at Brooklyn,Mexican ,Williamsburg,21,16,17,37
Momo Sushi Shack,Sushi ,Bushwick,27,22,25,31
Motorino,Pizza ,Williamsburg,25,13,17,27
Nicky's Vietnamese Sandwiches,Vietnamese ,Downtown Brooklyn,21,9,17,12
No. 7,American ,Fort Greene,22,15,17,25
No. 7 Sub,Sandwich Shop ,DUMBO,22,15,17,25
No. 7 Sub,Sandwich Shop ,Greenpoint,22,15,17,25
Noodle Pudding,Italian ,Brooklyn Heights,25,18,21,39
Northeast Kingdom,American ,Bushwick,25,23,24,29
NYY Steak,Steakhouse ,Concourse/Downtown,22,22,20,66
Olea,Mediterranean ,Fort Greene,23,22,21,34
Omonia Cafe,European ,Astoria,20,17,17,21
Ovelia,Greek ,Astoria,23,20,20,32
Pachanga Patterson,Mexican ,Astoria,23,21,21,28
Paulie Gee's,Pizza ,Greenpoint,26,22,21,28
Peaches,Southern American ,Bedford-Stuyvesant,23,19,22,28
Pequena,Mexican ,Fort Greene,21,18,18,24
Peter's Since 1969,American ,Williamsburg,20,15,19,30
Peter Luger Steak House,Steakhouse ,Williamsburg,27,16,21,83
Pho Bang,Vietnamese ,Elmhurst,22,8,14,16
Piccola Venezia Restaurant,Italian ,Astoria,25,17,24,58
Pies-n-Thighs,Southern American ,Williamsburg,24,14,18,22
Ping's,Chinese ,Elmhurst,21,12,14,30
Pio Pio,Peruvian ,Jackson Heights,23,15,18,28
Pio Pio,Peruvian ,Middle Village,23,15,18,28
Pio Pio To Go,Peruvian ,Jackson Heights,23,15,18,28
Pok Pok Ny,Thai ,Columbia Street Waterfront District,24,13,19,35
Ponticello Ristorante,Italian ,Astoria,24,21,23,54
Qi Thai Grill,Thai ,Williamsburg,22,22,19,29
Queen Restaurant,Italian ,Brooklyn Heights,24,16,22,45
Red Gravy,Italian ,Brooklyn Heights,20,17,19,45
Reynard,American ,Williamsburg,23,25,22,55
Riverview Restaurant & Lounge,American ,Long Island City,21,24,20,59
Rizzo's Fine Pizza,Pizza ,Astoria,23,13,19,15
Roberta's,American ,Bushwick,26,17,18,36
Roman's,Italian ,Fort Greene,24,19,21,45
Rucola,Italian ,Boerum Hill,24,21,21,41
Rye Restaurant,American ,Williamsburg,25,22,22,44
Salt & Fat,Asian ,Sunnyside (Queens),26,16,22,36
Sanfords Restaurant,American ,Astoria,22,20,20,26
Saraghina,Italian ,Bedford-Stuyvesant,26,24,22,26
SEA Thai Restaurant,Thai ,Williamsburg,22,24,19,30
Settepani,undefined,Williamsburg,23,21,24,38
Seva Indian Cuisine,Indian ,Astoria,24,16,20,21
Shake Shack,Burger ,Downtown Brooklyn,22,13,16,16
SHI,Asian ,Long Island City,24,25,21,38
Sik Gaek,Korean ,Sunnyside (Queens),22,14,19,36
Smorgasburg,undefined,Williamsburg,27,15,17,22
South Brooklyn Pizza,Pizza ,Park Slope,23,15,17,14
Speedy Romeo,Italian ,Clinton Hill,22,21,19,34
Spice,Thai ,Long Island City,19,15,17,29
SriPraPhai,Thai ,Woodside,27,14,17,27
St. Anselm,undefined,Williamsburg,27,20,24,43
Stonehome Wine Bar and Restaurant,American ,Fort Greene,21,19,20,39
Strong Place,American ,Cobble Hill,20,18,20,36
Sugar Freak,Cajun ,Astoria,22,24,22,29
Ted & Honey,American ,Cobble Hill,25,17,17,22
Teresa's Restaurant,Eastern European ,Brooklyn Heights,20,13,17,23
Testaccio,Italian ,Long Island City,22,21,20,46
The Astor Room,American ,Astoria,20,22,21,42
The Atlantic ChipShop,British ,Brooklyn Heights,20,16,20,22
The General Greene,American ,Fort Greene,20,17,18,33
The Grocery,American ,Carroll Gardens,27,18,25,64
The Hothouse,Southern American ,Bedford-Stuyvesant,23,19,22,28
The Meatball Shop,undefined,Williamsburg,24,17,19,24
The Queens Kickshaw,Sandwich Shop ,Astoria,23,19,21,21
The Smoke Joint,Barbecue ,Fort Greene,22,14,19,25
The Strand Smokehouse,Barbecue ,Astoria,21,17,15,30
Tournesol,French ,Long Island City,24,16,20,42
Traif,American ,Williamsburg,26,18,22,45
Trattoria L'incontro,Italian ,Astoria,26,21,25,59
Turkish Grill,Turkish ,Sunnyside (Queens),22,16,20,30
Umi Nom,Filipino ,Bedford-Stuyvesant,23,19,22,29
UNCLE JACK'S STEAKHOUSE,Steakhouse ,Bayside,23,21,22,70
Vanessa's Dumpling House,Chinese ,Williamsburg,22,8,13,10
Vesta Trattoria & Wine Bar,Italian ,Astoria,26,19,23,35
Vinegar Hill House,American ,Vinegar Hill,24,21,20,51
Walter's,American ,Fort Greene,23,21,22,40
Walter Foods,New American ,Williamsburg,23,21,22,40
Water's Edge,American ,Long Island City,22,25,22,65
Watty & Meg,undefined,Cobble Hill,20,20,21,41
Westville,American ,Hudson Square,23,14,18,26
Wild Ginger,Asian ,Cobble Hill,22,18,21,26
Wild Ginger Pan-Asian Vegan Cafe,Vegan ,Williamsburg,22,18,21,26
Xi'an Famous Foods,Chinese ,Williamsburg,24,6,13,12
Zabb Elee,Thai ,Elmhurst,22,12,17,25
Zaytoons,Middle Eastern ,Carroll Gardens,20,14,17,21
Zaytoons,Middle Eastern ,Clinton Hill,20,14,17,21
Zenkichi,Japanese ,Williamsburg,26,25,25,60
Zum Stammtisch,German ,Glendale,24,20,21,40
