Trade_Date,Total_Breaks,Trade_Total,Break_Rate,Day of week,Logged break rate,Label,Day number,wt
35053,244,3399,7.178581936,Wednesday,0.856038662,,3,2.034417419
35054,314,3535,8.882602546,Thursday,0.94854023,,4,1.006027108
35055,188,2733,6.878887669,Friday,0.837518218,,5,0.816027432
35059,180,2187,8.230452675,Tuesday,0.915423722,,2,1.7087445
35060,143,1450,9.862068966,Wednesday,0.993968035,,3,2.034417419
35061,166,1429,11.61651505,Thursday,1.065075859,,4,1.006027108
35062,165,2828,5.834512023,Friday,0.766004539,,5,0.816027432
35066,196,2860,6.853146853,Tuesday,0.835890038,,2,1.7087445
35067,225,3179,7.077697389,Wednesday,0.84989199,,3,2.034417419
35068,408,3763,10.84241297,Thursday,1.035125945,,4,1.006027108
35069,252,3910,6.445012788,Friday,0.809223783,,5,0.816027432
35072,236,3057,7.719986915,Monday,0.887616564,,1,0.525099769
35073,154,1465,10.51194539,Tuesday,1.021683096,,2,1.7087445
35074,306,2869,10.66573719,Wednesday,1.027990878,,3,2.034417419
35075,280,4672,5.993150685,Thursday,0.777655197,,4,1.006027108
35076,253,3635,6.960110041,Friday,0.842616106,,5,0.816027432
35079,216,4154,5.199807415,Monday,0.715987259,,1,0.525099769
35080,150,2155,6.960556845,Tuesday,0.842643985,,2,1.7087445
35081,200,2844,7.032348805,Wednesday,0.847100404,,3,2.034417419
35082,208,3127,6.651742885,Thursday,0.822935454,,4,1.006027108
35083,212,3166,6.696146557,Friday,0.82582495,,5,0.816027432
35086,240,3161,7.592534008,Monday,0.880386746,,1,0.525099769
35087,237,4193,5.652277606,Tuesday,0.752223484,,2,1.7087445
35088,184,3563,5.164187482,Wednesday,0.713002001,,3,2.034417419
35089,182,2877,6.326034063,Thursday,0.801131526,,4,1.006027108
35090,190,2948,6.44504749,Friday,0.809226122,,5,0.816027432
35093,182,2683,6.78345136,Monday,0.831450715,,1,0.525099769
35094,201,3536,5.68438914,Tuesday,0.754683801,,2,1.7087445
35095,185,3913,4.727830309,Wednesday,0.674661881,,3,2.034417419
35096,278,4042,6.877783276,Thursday,0.837448487,,4,1.006027108
35097,254,3496,7.265446224,Friday,0.861262293,,5,0.816027432
35100,259,3474,7.455382844,Monday,0.87246995,,1,0.525099769
35101,183,3564,5.134680135,Tuesday,0.710513394,,2,1.7087445
35102,210,3811,5.510364734,Wednesday,0.741180346,,3,2.034417419
35103,270,3636,7.425742574,Thursday,0.87073989,,4,1.006027108
35104,202,3061,6.599150604,Friday,0.81948804,,5,0.816027432
35107,229,3884,5.895983522,Monday,0.770556261,,1,0.525099769
35108,239,3620,6.602209945,Tuesday,0.81968933,,2,1.7087445
35109,236,3324,7.099879663,Wednesday,0.851250988,,3,2.034417419
35110,309,3288,9.397810219,Thursday,0.973026671,,4,1.006027108
35111,237,3871,6.12244898,Friday,0.786925175,,5,0.816027432
35115,211,3476,6.070195627,Tuesday,0.783202688,,2,1.7087445
35116,218,4515,4.828349945,Wednesday,0.683798739,,3,2.034417419
35117,201,3687,5.451586656,Thursday,0.73652292,,4,1.006027108
35118,168,4009,4.190571215,Friday,0.622273226,,5,0.816027432
35121,270,3080,8.766233766,Monday,0.942813048,,1,0.525099769
35122,194,3159,6.141183919,Tuesday,0.788252104,,2,1.7087445
35123,153,2667,5.736782902,Wednesday,0.758668415,,3,2.034417419
35124,293,4116,7.11856171,Thursday,0.852392254,,4,1.006027108
35125,199,3364,5.915576694,Friday,0.771997089,,5,0.816027432
35128,262,3023,8.666887198,Monday,0.937863144,,1,0.525099769
35129,266,3097,8.588957055,Tuesday,0.933940431,,2,1.7087445
35130,160,2741,5.837285662,Wednesday,0.766210947,,3,2.034417419
35131,174,2831,6.146238078,Thursday,0.788609379,,4,1.006027108
35132,221,2170,10.1843318,Friday,1.00793254,,5,0.816027432
35135,1298,4555,28.49615807,Monday,1.454786311,,1,0.525099769
35136,249,3564,6.986531987,Tuesday,0.844261652,,2,1.7087445
35137,217,3304,6.56779661,Wednesday,0.817419695,,3,2.034417419
35138,180,2333,7.715387913,Thursday,0.887357766,,4,1.006027108
35139,195,3088,6.314766839,Friday,0.80035732,,5,0.816027432
35142,187,2534,7.379636938,Monday,0.868034996,,1,0.525099769
35143,186,3965,4.691046658,Tuesday,0.671269753,,2,1.7087445
35144,215,3231,6.654286599,Wednesday,0.823101502,,3,2.034417419
35145,192,2824,6.798866856,Thursday,0.832436536,,4,1.006027108
35146,164,3059,5.36122916,Friday,0.729264371,,5,0.816027432
35149,191,2702,7.068837898,Monday,0.849348023,,1,0.525099769
35150,140,2366,5.917159763,Tuesday,0.772113295,,2,1.7087445
35151,164,3050,5.37704918,Wednesday,0.730544009,,3,2.034417419
35152,143,2788,5.129124821,Thursday,0.710043268,,4,1.006027108
35153,148,2685,5.512104283,Friday,0.741317425,,5,0.816027432
35156,235,3371,6.971225156,Monday,0.84330911,,1,0.525099769
35157,239,3380,7.071005917,Tuesday,0.849481201,,2,1.7087445
35158,237,2796,8.47639485,Wednesday,0.928211179,,3,2.034417419
35159,187,2740,6.824817518,Thursday,0.834091044,,4,1.006027108
35163,185,2132,8.677298311,Monday,0.938384528,,1,0.525099769
35164,162,1057,15.32639546,Tuesday,1.185440027,,2,1.7087445
35165,249,2642,9.424678274,Wednesday,0.974266534,,3,2.034417419
35166,484,4085,11.84822521,Thursday,1.073653301,,4,1.006027108
35167,232,4219,5.498933397,Friday,0.74027846,,5,0.816027432
35170,250,5182,4.824392127,Monday,0.6834426,,1,0.525099769
35171,212,2868,7.391910739,Tuesday,0.868756714,,2,1.7087445
35172,203,2672,7.597305389,Wednesday,0.880659584,,3,2.034417419
35173,200,3362,5.948839976,Thursday,0.774432287,,4,1.006027108
35174,245,3080,7.954545455,Friday,0.900615368,,5,0.816027432
35177,194,2572,7.542768274,Monday,0.877530766,,1,0.525099769
35178,204,3901,5.229428352,Tuesday,0.718454217,,2,1.7087445
35179,160,3452,4.634994206,Wednesday,0.666049196,,3,2.034417419
35180,216,2762,7.820419986,Thursday,0.893230077,,4,1.006027108
35181,256,3106,8.242112041,Friday,0.916038514,,5,0.816027432
35184,196,2657,7.376740685,Monday,0.867864517,,1,0.525099769
35185,166,2453,6.767223808,Tuesday,0.83041054,,2,1.7087445
35186,245,2954,8.293838863,Wednesday,0.918755593,,3,2.034417419
35187,221,1748,12.64302059,Thursday,1.101850845,,4,1.006027108
35188,212,3141,6.749442853,Friday,0.829267925,,5,0.816027432
35191,215,2937,7.320394961,Monday,0.864534513,,1,0.525099769
35192,184,2917,6.307850531,Tuesday,0.799881394,,2,1.7087445
35193,183,2974,6.15332885,Wednesday,0.789110126,,3,2.034417419
35194,191,4556,4.192273924,Thursday,0.622449652,,4,1.006027108
35195,198,3158,6.269791007,Friday,0.797253065,,5,0.816027432
35198,258,3728,6.920600858,Monday,0.840143802,,1,0.525099769
35199,210,3139,6.690028672,Tuesday,0.825427979,,2,1.7087445
35200,157,3325,4.721804511,Wednesday,0.674108003,,3,2.034417419
35201,218,3475,6.273381295,Thursday,0.797501685,,4,1.006027108
35202,228,3110,7.331189711,Friday,0.865174458,,5,0.816027432
35205,143,2158,6.626506024,Monday,0.821284597,,1,0.525099769
35206,162,3567,4.541631623,Tuesday,0.657211905,,2,1.7087445
35207,219,3415,6.412884334,Wednesday,0.807053407,,3,2.034417419
35208,197,4194,4.697186457,Thursday,0.6718378,,4,1.006027108
35209,212,3741,5.666933975,Friday,0.753348153,,5,0.816027432
35213,241,5383,4.477057403,Tuesday,0.650992663,,2,1.7087445
35214,188,2665,7.054409006,Wednesday,0.848460636,,3,2.034417419
35215,151,2565,5.886939571,Thursday,0.769889578,,4,1.006027108
35216,116,2706,4.28677014,Friday,0.632130197,,5,0.816027432
