PricePerSqFtSqrt,TaxPerSqFtSqrt,PropClass
14.947641954502389,7.122218755416039,15C
13.30548758971275,3.1567388235329195,1
6.965486343393403,5.5213223053902585,4C
8.574905247289909,4.685402864215627,4A
8.09635720555856,3.340359262115379,1
5.388506286532475,3.733229165213408,1
9.527224149772062,7.045353078448233,4A
7.2009027211871155,5.36898500649797,4A
3.302726146685492,4.813314866077223,4A
5.3221236362940685,3.8461669230546924,4A
13.098435021024457,7.006639708162537,4A
12.964759928359646,6.604316770113317,4C
8.52038731514008,9.78524399287008,4C
12.902441629397128,9.838038422368557,4A
7.118707747899193,3.6761392791895138,4A
19.971479664761947,9.934988676390125,4A
6.395310782127793,3.4641016151377544,4B
5.677763644252902,4.52625673156086,4A
9.763810731471601,6.798529252713413,4A
15.049285697334607,9.11026893126652,4C
7.467395797732968,7.273513593855449,4C
14.650392486210054,8.79897721329019,4C
14.540667109868103,7.621417191047869,4A
6.625858434950146,3.6195303562755212,1
6.816377336973064,4.938927008976748,1
10.145442326483355,4.970211263115482,1
10.458919638280046,6.659204156654157,4A
10.434797554337123,6.54209446584196,4A
10.654388767076224,6.363646753238272,4A
8.771829911711695,7.281483365359012,15F
8.64152764272614,5.76107628833363,4A
14.658308224348403,7.309309132879797,4A
11.323603666677847,5.76870869432666,4A
8.878006533000525,6.334508662871968,4A
6.816744090839849,6.511681810408122,4A
7.448556907213638,3.2603680773802215,1
4.767284342264472,3.277499046529228,1
3.461213659975356,2.635905916378656,15C
8.764473743471424,4.771268175233918,15C
13.66319874699918,7.1693793315739685,4A
13.168599014321911,8.520269948775097,4B
13.715647997816218,4.458811500837415,4A
9.124801367701107,4.684762534003191,1
16.856482432583615,5.061620293937506,1
15.221924976822084,8.789027249929312,4A
10.641428475538422,9.187382652311811,4A
22.08630797575729,11.24250861685238,4A
15.279037927827787,8.077375811487293,15F
7.888472602475082,5.850213671311502,4A
15.986869612278698,7.472081370006619,4A
11.167855658093007,7.337233811185248,4A
8.082759429798712,9.058476693131135,4A
9.495946503640383,6.85908157117263,4A
5.513166059534213,4.43350876845868,1
8.558679804736242,5.066458329049988,4B
11.430748007020362,3.2331099579197735,1
11.282331319368351,4.401590621582157,4B
2.9777508290654544,3.0461451048825627,4A
17.097923850573203,5.939865318338455,4A
5.815410561602681,2.4326939799325356,1
6.471939431113366,3.1622776601683795,1
12.77352731237539,5.415902510200862,4B
5.828293060579573,5.880051020186815,4A
14.344371718552193,5.833780935208315,4B
4.293949231185669,2.581666128685117,4B
4.751631298827804,3.8619943034655035,4B
8.526664060463505,5.3474292889200505,4B
8.514693182963201,5.653848246990717,4B
4.034104609451768,2.6,1
8.783108789033642,5.7569957443097,4A
10.412732590439457,5.495361680544785,4B
13.721297314758543,5.8921133729757775,4B
11.233120670588383,5.159457335805772,4B
8.36570379585603,3.986853395849915,4B
11.327400407860578,6.2173949528721435,4B
10.660018761709567,5.193842508201418,4B
7.529076968659571,4.8374580101536795,4B
1.5368799562750501,1.2549900398011133,1
13.999749997767816,3.365115154047481,1
4.657252408878008,1.4758048651498612,1
7.48364884264354,2.4314604664686614,1
11.938090299541212,3.2814630883189895,1
11.938090299541212,3.2814630883189895,1
5.388506286532475,2.704995378923964,1
2.792848008753788,0.7745966692414834,1
5.4006481092550365,4.40431606495265,4A
5.2570904500493425,2.8383093559370867,1
3.1543620591175006,4.41554073698794,4B
13.844782410713432,5.838150392033422,4B
10.682134618136958,3.9838423663593923,1
16.517324238507882,9.911458015852158,15F
10.445333886477732,2.701851217221259,15C
3.944616584663204,1.2884098726725126,1
3.944616584663204,1.2884098726725126,1
14.087263751346462,8.950195528590422,4A
7.201874755922932,3.9838423663593923,1
11.394779506423106,7.105209356521453,4A
8.650202309772876,5.992662179699436,4B
9.859411747158143,4.647795176209899,4B
11.805422482910132,5.1920130970559,4B
7.684855236112129,0.5477225575051661,4B
7.843596114028309,4.090354507863592,4A
12.805467582247827,2.449693858423946,1
20.089474856252465,9.333166665178545,4C
4.170851232062827,2.9514403263491538,1
4.092676385936225,4.092676385936225,1
5.0872389367907616,4.153673073317157,1
6.7492962596110715,0.5477225575051661,1
5.549774770204643,4.0743097574926725,OTH
